"I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18"
"Frozen Desserts","Snack Foods","Vegetables","Baking Goods","","","","","","","","","","","","","",""
"Hygiene","Snack Foods","Seafood","Cleaning Supplies","Paper Products","Canned Soup","","","","","","","","","","","",""
"Kitchen Products","Carbonated Beverages","Dairy","","","","","","","","","","","","","","",""
"Specialty","Side Dishes","Vegetables","Starchy Foods","Breakfast Foods","","","","","","","","","","","","",""
"Dairy","Fruit","","","","","","","","","","","","","","","",""
"Snack Foods","Canned Tuna","Hardware","Vegetables","Fruit","Canned Soup","","","","","","","","","","","",""
"Specialty","Paper Products","Hardware","Snack Foods","","","","","","","","","","","","","",""
"Jams and Jellies","Vegetables","","","","","","","","","","","","","","","",""
"Bread","Vegetables","Fruit","","","","","","","","","","","","","","",""
"Baking Goods","Bathroom Products","","","","","","","","","","","","","","","",""
"Vegetables","Bread","Frozen Entrees","","","","","","","","","","","","","","",""
"Vegetables","Electrical","Bread","Baking Goods","","","","","","","","","","","","","",""
"Meat","Pizza","Dairy","Fruit","Candy","","","","","","","","","","","","",""
"Jams and Jellies","","","","","","","","","","","","","","","","",""
"Vegetables","Fruit","Snack Foods","Bread","","","","","","","","","","","","","",""
"Snack Foods","Hot Beverages","","","","","","","","","","","","","","","",""
"Magazines","Beer and Wine","Starchy Foods","","","","","","","","","","","","","","",""
"Snack Foods","Kitchen Products","","","","","","","","","","","","","","","",""
"Breakfast Foods","Frozen Desserts","Snack Foods","Vegetables","Canned Shrimp","Baking Goods","Candy","","","","","","","","","","",""
"Breakfast Foods","Candy","Kitchen Products","","","","","","","","","","","","","","",""
"Snack Foods","Candy","Dairy","Cold Remedies","Breakfast Foods","","","","","","","","","","","","",""
"Dairy","Vegetables","Meat","Snack Foods","Cold Remedies","","","","","","","","","","","","",""
"Pure Juice Beverages","Paper Products","Cleaning Supplies","Vegetables","","","","","","","","","","","","","",""
"Electrical","Breakfast Foods","Snack Foods","","","","","","","","","","","","","","",""
"Canned Soup","Plastic Products","","","","","","","","","","","","","","","",""
"Fruit","Pain Relievers","Canned Clams","Frozen Entrees","","","","","","","","","","","","","",""
"Canned Soup","Canned Anchovies","Fruit","Snack Foods","","","","","","","","","","","","","",""
"Vegetables","Fruit","Snack Foods","","","","","","","","","","","","","","",""
"Fruit","Kitchen Products","Eggs","","","","","","","","","","","","","","",""
"Bread","Decongestants","","","","","","","","","","","","","","","",""
"Vegetables","Breakfast Foods","Baking Goods","Fruit","Meat","","","","","","","","","","","","",""
"Frozen Entrees","Jams and Jellies","Frozen Desserts","Starchy Foods","Hygiene","","","","","","","","","","","","",""
"Jams and Jellies","Carbonated Beverages","Bread","","","","","","","","","","","","","","",""
"Canned Soup","Vegetables","Snack Foods","Eggs","Bread","","","","","","","","","","","","",""
"Eggs","Meat","Breakfast Foods","Candy","Bread","Snack Foods","","","","","","","","","","","",""
"Jams and Jellies","Candy","Drinks","Snack Foods","Vegetables","","","","","","","","","","","","",""
"Breakfast Foods","Eggs","Frozen Entrees","Starchy Foods","Bread","Snack Foods","","","","","","","","","","","",""
"Beer and Wine","Drinks","Side Dishes","Vegetables","Snack Foods","Cleaning Supplies","Dairy","","","","","","","","","","",""
"Baking Goods","Bathroom Products","Jams and Jellies","Frozen Entrees","Carbonated Beverages","","","","","","","","","","","","",""
"Specialty","Vegetables","","","","","","","","","","","","","","","",""
"Meat","","","","","","","","","","","","","","","","",""
"Snack Foods","Jams and Jellies","Paper Products","Frozen Entrees","","","","","","","","","","","","","",""
"Frozen Desserts","Snack Foods","","","","","","","","","","","","","","","",""
"Magazines","Dairy","","","","","","","","","","","","","","","",""
"Pure Juice Beverages","Snack Foods","Dairy","Meat","","","","","","","","","","","","","",""
"Canned Soup","Fruit","Pizza","Jams and Jellies","Vegetables","","","","","","","","","","","","",""
"Dairy","Pain Relievers","","","","","","","","","","","","","","","",""
"Snack Foods","Jams and Jellies","Hygiene","Cold Remedies","","","","","","","","","","","","","",""
"Vegetables","Eggs","Dairy","Snack Foods","","","","","","","","","","","","","",""
"Dairy","Candy","Paper Products","Vegetables","","","","","","","","","","","","","",""
"Candy","Meat","Pizza","Electrical","Vegetables","Breakfast Foods","Snack Foods","","","","","","","","","","",""
"Snack Foods","Carbonated Beverages","Breakfast Foods","","","","","","","","","","","","","","",""
"Vegetables","Snack Foods","Jams and Jellies","","","","","","","","","","","","","","",""
"Snack Foods","Fruit","","","","","","","","","","","","","","","",""
"Fruit","Beer and Wine","Side Dishes","Paper Products","","","","","","","","","","","","","",""
"Frozen Desserts","Candy","","","","","","","","","","","","","","","",""
"Candy","Canned Soup","","","","","","","","","","","","","","","",""
"Vegetables","Bathroom Products","Bread","Jams and Jellies","Eggs","Starchy Foods","","","","","","","","","","","",""
"Hygiene","Specialty","Vegetables","Carbonated Beverages","Meat","Fruit","","","","","","","","","","","",""
"Dairy","Electrical","Vegetables","Canned Soup","Starchy Foods","Candy","","","","","","","","","","","",""
"Paper Products","","","","","","","","","","","","","","","","",""
"Jams and Jellies","Vegetables","Meat","Canned Tuna","Breakfast Foods","Magazines","","","","","","","","","","","",""
"Canned Soup","Vegetables","Eggs","Drinks","Paper Products","","","","","","","","","","","","",""
"Cleaning Supplies","Snack Foods","Vegetables","Paper Products","","","","","","","","","","","","","",""
"Pain Relievers","Fruit","Pizza","Jams and Jellies","Bread","","","","","","","","","","","","",""
"Meat","Cleaning Supplies","Dairy","Vegetables","Breakfast Foods","Hygiene","","","","","","","","","","","",""
"Dairy","","","","","","","","","","","","","","","","",""
"Frozen Desserts","Carbonated Beverages","","","","","","","","","","","","","","","",""
"Canned Soup","Meat","Eggs","Jams and Jellies","Canned Shrimp","Electrical","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Hygiene","Meat","Bathroom Products","","","","","","","","","","","","","","",""
"Snack Foods","Magazines","Candles","Baking Goods","Vegetables","Paper Products","","","","","","","","","","","",""
"Meat","Candy","Baking Goods","","","","","","","","","","","","","","",""
"Frozen Desserts","Meat","Eggs","","","","","","","","","","","","","","",""
"Meat","Specialty","Hot Beverages","Dairy","","","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Meat","Vegetables","Baking Goods","Bathroom Products","Cleaning Supplies","","","","","","","","","","","","",""
"Meat","Plastic Products","","","","","","","","","","","","","","","",""
"Bread","Canned Tuna","Snack Foods","Seafood","Fruit","Carbonated Beverages","","","","","","","","","","","",""
"Pizza","Starchy Foods","Candles","Dairy","Snack Foods","Bathroom Products","","","","","","","","","","","",""
"Hardware","Eggs","Cold Remedies","","","","","","","","","","","","","","",""
"Candles","Pain Relievers","Fruit","Starchy Foods","","","","","","","","","","","","","",""
"Dairy","Bathroom Products","Snack Foods","Jams and Jellies","Pain Relievers","","","","","","","","","","","","",""
"Fruit","Jams and Jellies","Snack Foods","Dairy","Packaged Vegetables","","","","","","","","","","","","",""
"Breakfast Foods","Snack Foods","","","","","","","","","","","","","","","",""
"Candy","Canned Soup","Breakfast Foods","Frozen Desserts","Carbonated Beverages","Cleaning Supplies","Snack Foods","","","","","","","","","","",""
"Vegetables","Snack Foods","Baking Goods","Starchy Foods","Bathroom Products","","","","","","","","","","","","",""
"Candy","Plastic Products","Eggs","Paper Products","Dairy","","","","","","","","","","","","",""
"Vegetables","Paper Products","Meat","","","","","","","","","","","","","","",""
"Dairy","Plastic Products","Frozen Desserts","Breakfast Foods","Hygiene","Paper Products","Candy","","","","","","","","","","",""
"Fruit","","","","","","","","","","","","","","","","",""
"Kitchen Products","Paper Products","","","","","","","","","","","","","","","",""
"Fruit","Carbonated Beverages","Pizza","Paper Products","","","","","","","","","","","","","",""
"Vegetables","Decongestants","Dairy","","","","","","","","","","","","","","",""
"Snack Foods","Vegetables","Fruit","","","","","","","","","","","","","","",""
"Starchy Foods","Breakfast Foods","Vegetables","Snack Foods","Kitchen Products","","","","","","","","","","","","",""
"Jams and Jellies","Vegetables","Pure Juice Beverages","Canned Soup","","","","","","","","","","","","","",""
"Eggs","Dairy","Cold Remedies","Vegetables","Bread","","","","","","","","","","","","",""
"Vegetables","Dairy","","","","","","","","","","","","","","","",""
"Breakfast Foods","Hardware","Frozen Entrees","Electrical","Vegetables","Bread","Fruit","","","","","","","","","","",""
"Hardware","Magazines","Starchy Foods","Vegetables","Snack Foods","","","","","","","","","","","","",""
"Cold Remedies","Dairy","Meat","Snack Foods","Candy","","","","","","","","","","","","",""
"Meat","Starchy Foods","Jams and Jellies","","","","","","","","","","","","","","",""
"Dairy","Snack Foods","Frozen Desserts","Electrical","","","","","","","","","","","","","",""
"Dairy","Canned Soup","","","","","","","","","","","","","","","",""
"Baking Goods","Snack Foods","Dairy","Paper Products","","","","","","","","","","","","","",""
"Bathroom Products","Snack Foods","Candy","Dairy","Cold Remedies","Breakfast Foods","","","","","","","","","","","",""
"Snack Foods","Jams and Jellies","Meat","Dairy","","","","","","","","","","","","","",""
"Vegetables","Carbonated Beverages","Snack Foods","Dairy","Frozen Desserts","","","","","","","","","","","","",""
"Vegetables","Fruit","Pizza","Jams and Jellies","","","","","","","","","","","","","",""
"Snack Foods","Canned Soup","","","","","","","","","","","","","","","",""
"Meat","Vegetables","Eggs","Kitchen Products","Snack Foods","Breakfast Foods","","","","","","","","","","","",""
"Hygiene","Snack Foods","Fruit","Electrical","Dairy","Bread","","","","","","","","","","","",""
"Snack Foods","Fruit","","","","","","","","","","","","","","","",""
"Dairy","Fruit","Beer and Wine","Pizza","","","","","","","","","","","","","",""
"Bathroom Products","Dairy","Canned Soup","","","","","","","","","","","","","","",""
"Snack Foods","Pain Relievers","Canned Tuna","Drinks","Breakfast Foods","","","","","","","","","","","","",""
"Vegetables","Dairy","Paper Products","Meat","","","","","","","","","","","","","",""
"Vegetables","Dairy","Jams and Jellies","Electrical","Carbonated Beverages","Fruit","","","","","","","","","","","",""
"Paper Products","Specialty","","","","","","","","","","","","","","","",""
"Magazines","Dairy","Pizza","Frozen Desserts","Electrical","Bathroom Products","","","","","","","","","","","",""
"Fruit","Miscellaneous","Snack Foods","","","","","","","","","","","","","","",""
"Cleaning Supplies","Miscellaneous","Snack Foods","Dairy","","","","","","","","","","","","","",""
"Canned Anchovies","Hot Beverages","Electrical","","","","","","","","","","","","","","",""
"Kitchen Products","","","","","","","","","","","","","","","","",""
"Specialty","","","","","","","","","","","","","","","","",""
"Vegetables","Bathroom Products","Pain Relievers","Cold Remedies","Seafood","","","","","","","","","","","","",""
"Frozen Desserts","Snack Foods","Candy","","","","","","","","","","","","","","",""
"Paper Products","Jams and Jellies","","","","","","","","","","","","","","","",""
"Decongestants","Beer and Wine","Dairy","Packaged Vegetables","Canned Anchovies","Canned Soup","Candy","","","","","","","","","","",""
"Dairy","Vegetables","Electrical","Canned Soup","Baking Goods","Snack Foods","","","","","","","","","","","",""
"Pizza","","","","","","","","","","","","","","","","",""
"Snack Foods","Plastic Products","Frozen Desserts","","","","","","","","","","","","","","",""
"Jams and Jellies","Vegetables","Snack Foods","","","","","","","","","","","","","","",""
"Kitchen Products","Plastic Products","Jams and Jellies","Vegetables","Dairy","","","","","","","","","","","","",""
"Bread","Vegetables","Candy","Magazines","","","","","","","","","","","","","",""
"Canned Oysters","Hot Beverages","Plastic Products","Drinks","Frozen Desserts","","","","","","","","","","","","",""
"Magazines","Dairy","Breakfast Foods","","","","","","","","","","","","","","",""
"Kitchen Products","Vegetables","Hygiene","Breakfast Foods","","","","","","","","","","","","","",""
"Bread","Candy","Bathroom Products","Snack Foods","Jams and Jellies","Dairy","Vegetables","Canned Soup","","","","","","","","","",""
"Meat","Baking Goods","Canned Soup","Jams and Jellies","","","","","","","","","","","","","",""
"Dairy","Canned Tuna","Fruit","Hot Beverages","Magazines","","","","","","","","","","","","",""
